filename,class,planet_label,has_planet,has_activity,flux_mean,flux_std,amplitude,n_points,planet_radius,orbital_period,impact_parameter,flare_amplitude,spot_radius_mean,spot_latitude_mean,spot_lifetime_mean,stellar_rotation_period,tau
0000000000.dat,0,0,0,0,2.5862703458887664,289.9666206207059,2673.976851035982,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.361,0.0
0000000001.dat,0,0,0,0,5.838510047902264,712.6849293989559,6577.770640185523,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.627,0.0
0000000002.dat,0,0,0,0,-3.311046802406889,584.2149272514482,5065.596914311645,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.278,0.0
0000000003.dat,0,0,0,0,8.543388271781916,499.59720020744754,4556.05336236055,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.923,0.0
0000000004.dat,0,0,0,0,2.360000244617693,246.33694147389386,2209.035383857712,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.237,0.0
0000000005.dat,0,0,0,0,2.3600877897780066,246.346802842601,2215.982763037268,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.92,0.0
0000000006.dat,0,0,0,0,-2.8807481943651623,220.47801386329184,1954.5563257130962,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.404,0.0
0000000007.dat,0,0,0,0,3.8496834593017093,648.0183337499759,6214.674650634652,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.401,0.0
0000000008.dat,0,0,0,0,-8.807731752216506,419.07433104731933,3699.857642926065,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.252,0.0
0000000009.dat,0,0,0,0,-3.331978425688934,550.8858735333883,5096.9474729723315,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.429,0.0
0000000010.dat,0,0,0,0,4.242738080653107,252.65078095631875,2316.187443108112,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.375,0.0
0000000011.dat,0,0,0,0,18.22564226680089,957.2141584151443,8574.299066571848,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.751,0.0
0000000012.dat,0,0,0,0,3.850004447721637,648.0151060258348,6206.740818741114,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.502,0.0
0000000013.dat,0,0,0,0,-1.5080792861787178,255.02102331512066,2368.185257083567,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.958,0.0
0000000014.dat,0,0,0,0,1.9595921025511915,261.45344295644014,2460.502900933011,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.934,0.0
0000000015.dat,0,0,0,0,1.9595929310471925,261.4534874121899,2460.490247496135,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.519,0.0
0000000016.dat,0,0,0,0,3.4797722743665394,288.7525297402405,2610.523540076778,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.425,0.0
0000000017.dat,0,0,0,0,4.010306139955847,390.1678800243681,3710.733096728027,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.562,0.0
0000000018.dat,0,0,0,0,20.185091967813694,502.5234424417002,3898.939513728462,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.987,0.0
0000000019.dat,0,0,0,0,0.30750836374339213,260.06719597349155,2393.576577491711,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.34,0.0
0000000020.dat,0,0,0,0,-3.879992416270822,438.6169842085646,4064.9541596749077,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.234,0.0
0000000021.dat,0,0,0,0,-2.880530478963963,220.4840941214752,1953.4919366687118,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.253,0.0
0000000022.dat,0,0,0,0,0.3071372390202705,260.0583318710361,2393.743137753197,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.677,0.0
0000000023.dat,0,0,0,0,2.586280158515708,289.9638061572396,2665.9299848953433,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.831,0.0
0000000024.dat,0,0,0,0,-5.176095794751866,400.8317291665618,3475.737809616973,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.784,0.0
0000000025.dat,0,0,0,0,3.1880534867952557,661.6866205394747,6110.4026762760495,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.538,0.0
0000000026.dat,0,0,0,0,0.30738253994929043,260.0638717217654,2393.412263850435,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.957,0.0
0000000027.dat,0,0,0,0,4.010584495419882,390.17505109649153,3702.2006280026717,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.249,0.0
0000000028.dat,0,0,0,0,-8.80734766031622,419.08058654376293,3696.022466656854,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.549,0.0
0000000029.dat,0,0,0,0,-2.880801584964034,220.4766459287229,1953.667770604466,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.895,0.0
0000000030.dat,0,0,0,0,-3.880061180681426,438.6161733573785,4065.996232716695,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25,0.0
0000000031.dat,0,0,0,0,1.959263073305619,261.4481104362572,2446.573553944625,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45,0.0
0000000032.dat,0,0,0,0,1.6182703325590917,222.7617936630017,2095.149910478433,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.39,0.0
0000000033.dat,0,0,0,0,5.838729760091901,712.6854582833389,6577.4094094946395,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,0.0
0000000034.dat,0,0,0,0,-316.1238265109083,6344.131930102518,26197.50607677269,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.457,0.0
0000000035.dat,0,0,0,0,-1.0152414984294964,645.1146283313777,6019.499542409365,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.899,0.0
0000000036.dat,0,0,0,0,3.479624189215935,288.7461341912567,2619.915149085272,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.64,0.0
0000000037.dat,0,0,0,0,-4.264507276193048,223.23501650922123,2076.691556454023,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.566,0.0
0000000038.dat,0,0,0,0,-18.362153675842965,516.4128876029694,4668.55507525068,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.164,0.0
0000000039.dat,0,0,0,0,4.010674063396789,390.17587435236663,3700.5762144009987,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.771,0.0
0000000040.dat,0,0,0,0,1.6185280895581298,222.74680117319923,2100.642725962059,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.763,0.0
0000000041.dat,0,0,0,0,4.010655630049524,390.16574495930917,3708.9603943142038,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.934,0.0
0000000042.dat,0,0,0,0,-7.554680862770952,289.89609415428316,2207.304700528744,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.565,0.0
0000000043.dat,0,0,0,0,-15.236436374727592,861.6768107282156,7505.6758572049675,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.005,0.0
0000000044.dat,0,0,0,0,24.592180285951994,509.63489144930475,3559.615326331251,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.177,0.0
0000000045.dat,0,0,0,0,-3.3320874998155667,550.8895749548328,5105.803782342817,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.056,0.0
0000000046.dat,0,0,0,0,2.774137248890964,320.05682609085267,3042.8465792290917,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25,0.0
0000000047.dat,0,0,0,0,-8.807552578343888,419.0729179372768,3701.233291133268,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.396,0.0
0000000048.dat,0,0,0,0,4.938875238853348,419.4531960995005,3857.825365584882,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.572,0.0
0000000049.dat,0,0,0,0,1.9594876522918592,261.44677611862875,2447.41480290316,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.134,0.0
0000000050.dat,0,0,0,0,18.22569762795731,957.2136222637937,8573.436856475051,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.292,0.0
0000000051.dat,0,0,0,0,-3.332313978639282,550.8852618367553,5100.456180559464,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.284,0.0
0000000052.dat,0,0,0,0,5.838459779455868,712.6854148613866,6571.6386892579885,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.516,0.0
0000000053.dat,0,0,0,0,14.339311013720753,1172.282677733605,8542.440306373834,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.936,0.0
0000000054.dat,0,0,0,0,8.543343641560952,499.5934154275831,4547.783632469211,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.152,0.0
0000000055.dat,0,0,0,0,19.580664755975892,953.5831099009872,8117.8731790013535,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.396,0.0
0000000056.dat,0,0,0,0,1.7289565847821482,245.5546957864504,2311.2739097316953,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.908,0.0
0000000057.dat,0,0,0,0,-4.264415895118695,223.23545389639966,2080.340729122299,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.074,0.0
0000000058.dat,0,0,0,0,11.341715687425422,238.63036197902238,2092.193154454396,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.88,0.0
0000000059.dat,0,0,0,0,0.3072495973799886,260.0605904326698,2399.720332493629,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.771,0.0
0000000060.dat,0,0,0,0,2.586349477710583,289.9639039633902,2675.338665818621,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.974,0.0
0000000061.dat,0,0,0,0,1.9596146554964304,261.4541956565627,2456.669270990276,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.961,0.0
0000000062.dat,0,0,0,0,3.8500871157785848,648.0241585900659,6221.140745730028,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.634,0.0
0000000063.dat,0,0,0,0,-11.915499718344545,374.0526211931731,3182.410619291425,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.066,0.0
0000000064.dat,0,0,0,0,1.9594566406935778,261.4507100056368,2460.164272371927,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0
0000000065.dat,0,0,0,0,8.543448094473328,499.596103097116,4545.154372281802,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.399,0.0
0000000066.dat,0,0,0,0,-2.880538712526205,220.48368600652765,1952.9765644508236,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.224,0.0
0000000067.dat,0,0,0,0,-3.332001362077735,550.8870526052073,5104.899903641834,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.332,0.0
0000000068.dat,0,0,0,0,-2.8805184792377054,220.47702735126762,1957.299662624215,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.911,0.0
0000000069.dat,0,0,0,0,43.83755364813899,2039.4214650384915,13040.455829326398,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.256,0.0
0000000070.dat,0,0,0,0,3.1880092049960425,661.6862092040299,6110.25276648187,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.731,0.0
0000000071.dat,0,0,0,0,-4.264814031742951,223.22459992601944,2078.837846753654,899517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.865,0.0
